LADCD,Total,Size,Size,Size,Size,Size,Size,Owned,Owned,Owned,Owned,Owned,Owned,Owned,Owned,Owned,Owned,Sector,Sector,Sector,Sector,Sector,Sector,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry,Industry
,,0,1-9,10-49,50-249,250-999,1000+,"black","employee","family","immigrant","indigenous","lgbtq","minority","personWithDisability","veteran","women","Agriculture/Growers","Manufacturing","Service","Service with Minor Environmental Footprint","Service with Significant Environmental Footprint","Wholesale/Retail","Accommodation","Accounting & auditing","Admin, photocopying & mail services","Advertising & market research","Agicultural support/post-harvest","Agricultural Processing","Animal Production","Apparel","Architecture design & planning","Arts & entertainment","Athletic & fitness centers","Beverage serving & bars","Beverages","Book publishing","Books or other media","Call centers","Chemicals & chemical products","Civil engineering","Cleaning products","Computer & electronic products","Computer programming services","Computers & electronics","Construction","Contracting & building","Data processing & hosting","Deposit bank - Developed Markets","Design & building","Diagnostic services","Education & training services","Educational support","Electrical equipment","Employment placement & HR","Engineering","Environmental consulting","Equity investing - Developed Markets","Equity investing - Emerging Markets","Event catering & related","Fabricated metal products","Facilities & cleaning services","Film, TV & music production","Financial markets exchanges","Financial transaction processing","Food products","Funeral & related services","Furniture","Games & toys","General retail via Internet","General second-hand goods","General stores","Growing non-perennial crops","Growing perennial crops","Hairdressing & other beauty services","Health insurance","Home health care","Intellectual property leasing ex-copyrighted","Investment advising","Jewelry & related articles","Landscape services","Laundry & dry-cleaning","Leather & related products","Legal activities","Life insurance","Machinery & equipment","Management consultant - for-profits","Management consultant - nonprofits","Materials recovery & recycling","Medical & dental practice","Medical & dental supplies","Membership organizations","Mixed Farming","Mobile applications","Non-life insurance","Other business support","Other credit - Developed Markets","Other education","Other financial services","Other human health","Other info service activities","Other install & construction","Other insurance services","Other manufacturing","Other personal services","Other power generation","Other professional, scientific & tech","Other publishing activities","Other recreation","Other renewable energy installation","Other retail sale","Other sports","Other transport equipment","Other/general wholesale trade","Paper & paper products","Pension/retirement plans","Personal care products","Pharmaceutical products","Photography","Postal & courier activities","Pre- & primary education","Printing & recorded media","Programming & broadcasting","Publishing - newspapers & magazines","Real estate - leased property","Real estate development","Real estate- fee/contract","Rent/lease: other goods","Residential elderly & disabled care","Restaurants & food service","Rubber & plastics products","Scientific R&D","Social networks & info sharing","Software publishing and SaaS platforms","Solar panel installation","Solar power generation","Spec design (non-building)","Sports goods","Technology-based support services","Telecommunications","Textiles","Transportation support","Travel agency & related","Veterinary activities","Waste collection","Water supply & treatment","Web portals","Wood & wood products"
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
E06000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000004,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000007,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000008,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
